Fetched 1000 contributors.

1. Rafael Mendonça França — https://contributors.rubyonrails.org/contributors/rafael-mendonca-franca/commits (since 06 Oct 2010, commits 12734)
2. Aaron Patterson — https://contributors.rubyonrails.org/contributors/aaron-patterson/commits (since 10 Mar 2009, commits 6583)
3. Ryuta Kamizono — https://contributors.rubyonrails.org/contributors/ryuta-kamizono/commits (since 20 Nov 2013, commits 5192)
4. David Heinemeier Hansson — https://contributors.rubyonrails.org/contributors/david-heinemeier-hansson/commits (since 24 Nov 2004, commits 4922)
5. Jeremy Daer — https://contributors.rubyonrails.org/contributors/jeremy-daer/commits (since 24 Nov 2004, commits 4421)
6. Jean Boussier — https://contributors.rubyonrails.org/contributors/jean-boussier/commits (since 10 Nov 2011, commits 3295)
7. Xavier Noria — https://contributors.rubyonrails.org/contributors/xavier-noria/commits (since 14 Oct 2007, commits 3244)
8. José Valim — https://contributors.rubyonrails.org/contributors/jose-valim/commits (since 14 May 2008, commits 3014)
9. Eileen M. Uchitelle — https://contributors.rubyonrails.org/contributors/eileen-m-uchitelle/commits (since 31 Mar 2014, commits 2514)
10. Jonathan Hefner — https://contributors.rubyonrails.org/contributors/jonathan-hefner/commits (since 05 May 2019, commits 2354)
11. Yves Senn — https://contributors.rubyonrails.org/contributors/yves-senn/commits (since 20 May 2011, commits 2069)
12. Carlos Antonio da Silva — https://contributors.rubyonrails.org/contributors/carlos-antonio-da-silva/commits (since 14 Jan 2010, commits 2039)
13. Santiago Pastorino — https://contributors.rubyonrails.org/contributors/santiago-pastorino/commits (since 16 Jan 2010, commits 1984)
14. Kasper Timm Hansen — https://contributors.rubyonrails.org/contributors/kasper-timm-hansen/commits (since 11 Jun 2014, commits 1767)
15. Siân Griffin — https://contributors.rubyonrails.org/contributors/sian-griffin/commits (since 18 Mar 2013, commits 1453)
16. Andrew White — https://contributors.rubyonrails.org/contributors/andrew-white/commits (since 06 Sep 2007, commits 1328)
17. Matthew Draper — https://contributors.rubyonrails.org/contributors/matthew-draper/commits (since 19 Dec 2013, commits 1298)
18. Vijay Dev — https://contributors.rubyonrails.org/contributors/vijay-dev/commits (since 05 Dec 2010, commits 1275)
19. Guillermo Iguaran — https://contributors.rubyonrails.org/contributors/guillermo-iguaran/commits (since 09 May 2011, commits 1273)
20. Josh Peek — https://contributors.rubyonrails.org/contributors/josh-peek/commits (since 01 Dec 2004, commits 1228)
21. Jon Leighton — https://contributors.rubyonrails.org/contributors/jon-leighton/commits (since 13 Sep 2008, commits 1209)
22. Akira Matsuda — https://contributors.rubyonrails.org/contributors/akira-matsuda/commits (since 15 Jul 2008, commits 1180)
